A0A0A7EPL0	F4JYG0	AF-A0A0A7EPL0-F1-model_v3	AF-F4JYG0-F1-model_v3	4.5e-158	479.9	2.82e-08	1320.27	1.075E-53	2207	working
A0A140JWM8	Q9LVY7	AF-A0A140JWM8-F1-model_v3	AF-Q9LVY7-F1-model_v3	2.3e-299	814.7	0.00e+00	1373.01	3.196E-65	3356	working
A0A178U7J2	P93298	AF-A0A178U7J2-F1-model_v3	AF-P93298-F1-model_v3	1.9e-266	723.8	0.00e+00	1031.23	3.046E-46	2560	working
A0A178U9T0	A0JQ18	AF-A0A178U9T0-F1-model_v3	AF-A0JQ18-F1-model_v3	2.7e-11	53.1	8.84e-07	169.23	NA	NA	working
A0A178UIE7	Q940M5	AF-A0A178UIE7-F1-model_v3	AF-Q940M5-F1-model_v3	1.1e-146	415.6	2.51e-05	503.06	4.911E-27	1088	working
A0A178ULY3	Q9C909	AF-A0A178ULY3-F1-model_v3	AF-Q9C909-F1-model_v3	2.2e-22	88.2	NA	NA	NA	NA	working
A0A178ULY3	P39697	AF-A0A178ULY3-F1-model_v3	AF-P39697-F1-model_v3	NA	NA	1.46e-06	266.62	NA	NA	working
A0A178ULY3	F4JZK9	AF-A0A178ULY3-F1-model_v3	AF-F4JZK9-F1-model_v3	NA	NA	NA	NA	3.633E-12	480	working
A0A178UN75	O22221	AF-A0A178UN75-F1-model_v3	AF-O22221-F1-model_v3	1.0e-184	515.4	9.33e-15	909.45	3.125E-53	2106	working
A0A178UQR8	A0A1P8ARH5	AF-A0A178UQR8-F1-model_v3	AF-A0A1P8ARH5-F1-model_v3	3.2e-16	68.2	2.35e-03	150.82	NA	NA	working
A0A178US29	Q84JF8	AF-A0A178US29-F1-model_v3	AF-Q84JF8-F1-model_v3	1.8e-110	352.1	NA	NA	NA	NA	working
A0A178US29	Q8LFN2	AF-A0A178US29-F1-model_v3	AF-Q8LFN2-F1-model_v3	NA	NA	0.00e+00	1695.92	1.089E-62	3038	working
A0A178UUY0	F4IRL7	AF-A0A178UUY0-F1-model_v3	AF-F4IRL7-F1-model_v3	1.1e-219	610.9	NA	NA	8.951E-60	2564	working
A0A178UUY0	F4JWD4	AF-A0A178UUY0-F1-model_v3	AF-F4JWD4-F1-model_v3	NA	NA	0.00e+00	1080.88	NA	NA	working
A0A178UWL0	F4JTP6	AF-A0A178UWL0-F1-model_v3	AF-F4JTP6-F1-model_v3	6.9e-184	524.6	0.00e+00	1155.61	8.408E-62	2706	working
